html,is_article
"<a class=""sc-4befc967-1 gzOvMy"" data-testid=""internal-link"" href=""/""><!--$--><!--/$--></a>",0
"<section class=""sc-ba4a1d3a-0 fXIgdM""><nav class=""sc-ba4a1d3a-1 hJNhsM""><ul class=""sc-ba4a1d3a-2 eUkXjc""><li class=""sc-ba4a1d3a-3 cxftwe"" data-testid=""mainNavigationItemStyled""><a class=""sc-ba4a1d3a-4 hIyPug"" data-testid=""internal-link"" href=""/"">Home</a></li><li class=""sc-ba4a1d3a-3 jLPqAK"" data-testid=""mainNavigationItemStyled""><a class=""sc-ba4a1d3a-4 zsFYm"" data-testid=""internal-link"" href=""/news"">News</a></li><li class=""sc-ba4a1d3a-3 cxftwe"" data-testid=""mainNavigationItemStyled""><a class=""sc-ba4a1d3a-4 hIyPug"" data-testid=""internal-link"" href=""/sport"">Sport</a></li><li class=""sc-ba4a1d3a-3 cxftwe"" data-testid=""mainNavigationItemStyled""><a class=""sc-ba4a1d3a-4 hIyPug"" data-testid=""internal-link"" href=""/business"">Business</a></li><li class=""sc-ba4a1d3a-3 cxftwe"" data-testid=""mainNavigationItemStyled""><a class=""sc-ba4a1d3a-4 hIyPug"" data-testid=""internal-link"" href=""/innovation"">Innovation</a></li><li class=""sc-ba4a1d3a-3 cxftwe"" data-testid=""mainNavigationItemStyled""><a class=""sc-ba4a1d3a-4 hIyPug"" data-testid=""internal-link"" href=""/culture"">Culture</a></li><li class=""sc-ba4a1d3a-3 cxftwe"" data-testid=""mainNavigationItemStyled""><a class=""sc-ba4a1d3a-4 hIyPug"" data-testid=""internal-link"" href=""/travel"">Travel</a></li><li class=""sc-ba4a1d3a-3 cxftwe"" data-testid=""mainNavigationItemStyled""><a class=""sc-ba4a1d3a-4 hIyPug"" data-testid=""internal-link"" href=""/future-planet"">Earth</a></li><li class=""sc-ba4a1d3a-3 kbvdxp"" data-testid=""mainNavigationItemStyled""><a class=""sc-ba4a1d3a-4 hIyPug"" data-testid=""internal-link"" href=""/video"">Video</a></li><li class=""sc-ba4a1d3a-3 cxftwe"" data-testid=""mainNavigationItemStyled""><a class=""sc-ba4a1d3a-4 hIyPug"" data-testid=""internal-link"" href=""/live"">Live</a></li></ul></nav></section>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" data-testid=""internal-link"" href=""/"">Home</a>",0
"<a class=""sc-ba4a1d3a-4 zsFYm"" data-testid=""internal-link"" href=""/news"">News</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" data-testid=""internal-link"" href=""/sport"">Sport</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" data-testid=""internal-link"" href=""/business"">Business</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" data-testid=""internal-link"" href=""/innovation"">Innovation</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" data-testid=""internal-link"" href=""/culture"">Culture</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" data-testid=""internal-link"" href=""/travel"">Travel</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" data-testid=""internal-link"" href=""/future-planet"">Earth</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" data-testid=""internal-link"" href=""/video"">Video</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" data-testid=""internal-link"" href=""/live"">Live</a>",0
"<a class=""sc-ba4a1d3a-4 sc-ba4a1d3a-6 zsFYm fkFIFs"" data-testid=""internal-link"" href=""/news"">News</a>",0
"<a class=""sc-ba4a1d3a-4 sc-ba4a1d3a-6 hIyPug eYTqtb"" data-testid=""internal-link"" href=""/news/topics/c2vdnvdg6xxt"">Israel-Gaza War</a>",0
"<a class=""sc-ba4a1d3a-4 sc-ba4a1d3a-6 hIyPug eYTqtb"" data-testid=""internal-link"" href=""/news/war-in-ukraine"">War in Ukraine</a>",0
"<a class=""sc-ba4a1d3a-4 sc-ba4a1d3a-6 hIyPug eYTqtb"" data-testid=""internal-link"" href=""/news/world"">World</a>",0
"<a class=""sc-ba4a1d3a-4 sc-ba4a1d3a-6 hIyPug eYTqtb"" data-testid=""internal-link"" href=""/news/us-canada"">US &amp; Canada</a>",0
"<a class=""sc-ba4a1d3a-4 sc-ba4a1d3a-6 hIyPug eYTqtb"" data-testid=""internal-link"" href=""/news/uk"">UK</a>",0
"<a class=""sc-ba4a1d3a-4 sc-ba4a1d3a-6 hIyPug eYTqtb"" data-testid=""internal-link"" href=""/news/in_pictures"">In Pictures</a>",0
"<a class=""sc-ba4a1d3a-4 sc-ba4a1d3a-6 hIyPug eYTqtb"" data-testid=""internal-link"" href=""/news/reality_check"">BBC Verify</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/home"">Home</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news"">News</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news"">News</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/topics/c2vdnvdg6xxt"">Israel-Gaza War</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/war-in-ukraine"">War in Ukraine</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/world"">World</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/world"">World</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/world/africa"">Africa</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/world/asia"">Asia</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/world/asia/china"">China</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/world/asia/india"">India</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/world/australia"">Australia</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/world/europe"">Europe</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/world/latin_america"">Latin America</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/world/middle_east"">Middle East</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/us-canada"">US &amp; Canada</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/uk"">UK</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/uk"">UK</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/england"">England</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/northern_ireland"">N. Ireland</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/scotland"">Scotland</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/wales"">Wales</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/in_pictures"">In Pictures</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/news/reality_check"">BBC Verify</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/sport"">Sport</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/business"">Business</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/business"">Business</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/business/future-of-business"">Future of Business</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/business/technology-of-business"">Technology of Business</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/business/c-suite"">Work Culture</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/innovation"">Innovation</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/innovation"">Innovation</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/innovation/technology"">Technology</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/innovation/science"">Science &amp; Health</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/innovation/artificial-intelligence"">Artificial Intelligence</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/culture"">Culture</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/culture"">Culture</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/culture/film-tv"">Film &amp; TV</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/culture/music"">Music</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/culture/art"">Art &amp; Design</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/culture/style"">Style</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/culture/books"">Books</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/culture/entertainment-news"">Entertainment News</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/travel"">Travel</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/travel"">Travel</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/travel/destinations"">Destinations</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/travel/destinations/africa"">Africa</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/travel/destinations/antarctica"">Antarctica</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/travel/destinations/asia"">Asia</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/travel/destinations/australia-and-pacific"">Australia and Pacific</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/travel/destinations/caribbean"">Caribbean &amp; Bermuda</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/travel/destinations/central-america"">Central America</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/travel/destinations/europe"">Europe</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/travel/destinations/middle-east"">Middle East</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/travel/destinations/north-america"">North America</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/travel/destinations/south-america"">South America</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/travel/worlds-table"">World’s Table</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/travel/cultural-experiences"">Culture &amp; Experiences</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/travel/adventures"">Adventures</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/travel/specialist"">The SpeciaList</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/future-planet"">Earth</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/future-planet"">Earth</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/future-planet/natural-wonders"">Natural Wonders</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/future-planet/weather-science"">Weather &amp; Science</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/future-planet/solutions"">Climate Solutions</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/future-planet/sustainable-business"">Sustainable Business</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/future-planet/green-living"">Green Living</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/video"">Video</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/live"">Live</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/live"">Live</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/live/news"">Live News</a>",0
"<a class=""sc-ba4a1d3a-4 hIyPug"" href=""/live/sport"">Live Sport</a>",0
