html,is_article
"<a class=""brand-logo__logo-link"" data-zjs=""click"" data-zjs-component_id=""https://www.cnn.com"" data-zjs-component_text=""Main Logo"" data-zjs-component_type=""icon"" data-zjs-container_id="""" data-zjs-container_type=""navigation"" data-zjs-destination_url=""https://www.cnn.com"" data-zjs-page_type=""section"" data-zjs-page_variant=""landing_homepage"" href=""https://www.cnn.com"" title=""CNN logo"">
<span class=""brand-logo__logo"">

</span>
</a>",0
"<a class=""header__nav-item-link"" data-zjs=""click"" data-zjs-component_id=""https://www.cnn.com/us"" data-zjs-component_text=""US"" data-zjs-component_type=""link"" data-zjs-container_id=""cms.cnn.com/_components/header/instances/cnn-v1@published"" data-zjs-container_type=""navigation"" data-zjs-destination_url=""https://www.cnn.com/us"" data-zjs-navigation-location=""header"" data-zjs-navigation-type=""main"" data-zjs-page_type=""section"" data-zjs-page_variant=""landing_homepage"" href=""https://www.cnn.com/us"">
                  
                  US
                </a>",0
"<a class=""header__nav-item-link"" data-zjs=""click"" data-zjs-component_id=""https://www.cnn.com/world"" data-zjs-component_text=""World"" data-zjs-component_type=""link"" data-zjs-container_id=""cms.cnn.com/_components/header/instances/cnn-v1@published"" data-zjs-container_type=""navigation"" data-zjs-destination_url=""https://www.cnn.com/world"" data-zjs-navigation-location=""header"" data-zjs-navigation-type=""main"" data-zjs-page_type=""section"" data-zjs-page_variant=""landing_homepage"" href=""https://www.cnn.com/world"">
                  
                  World
                </a>",0
"<a class=""header__nav-item-link"" data-zjs=""click"" data-zjs-component_id=""https://www.cnn.com/politics"" data-zjs-component_text=""Politics"" data-zjs-component_type=""link"" data-zjs-container_id=""cms.cnn.com/_components/header/instances/cnn-v1@published"" data-zjs-container_type=""navigation"" data-zjs-destination_url=""https://www.cnn.com/politics"" data-zjs-navigation-location=""header"" data-zjs-navigation-type=""main"" data-zjs-page_type=""section"" data-zjs-page_variant=""landing_homepage"" href=""https://www.cnn.com/politics"">
                  
                  Politics
                </a>",0
"<a class=""header__nav-item-link"" data-zjs=""click"" data-zjs-component_id=""https://www.cnn.com/business"" data-zjs-component_text=""Business"" data-zjs-component_type=""link"" data-zjs-container_id=""cms.cnn.com/_components/header/instances/cnn-v1@published"" data-zjs-container_type=""navigation"" data-zjs-destination_url=""https://www.cnn.com/business"" data-zjs-navigation-location=""header"" data-zjs-navigation-type=""main"" data-zjs-page_type=""section"" data-zjs-page_variant=""landing_homepage"" href=""https://www.cnn.com/business"">
                  
                  Business
                </a>",0
"<a class=""header__nav-item-link"" data-zjs=""click"" data-zjs-component_id=""https://www.cnn.com/opinions"" data-zjs-component_text=""Opinion"" data-zjs-component_type=""link"" data-zjs-container_id=""cms.cnn.com/_components/header/instances/cnn-v1@published"" data-zjs-container_type=""navigation"" data-zjs-destination_url=""https://www.cnn.com/opinions"" data-zjs-navigation-location=""header"" data-zjs-navigation-type=""main"" data-zjs-page_type=""section"" data-zjs-page_variant=""landing_homepage"" href=""https://www.cnn.com/opinions"">
                  
                  Opinion
                </a>",0
"<a class=""header__nav-item-link"" data-zjs=""click"" data-zjs-component_id=""https://www.cnn.com/health"" data-zjs-component_text=""Health"" data-zjs-component_type=""link"" data-zjs-container_id=""cms.cnn.com/_components/header/instances/cnn-v1@published"" data-zjs-container_type=""navigation"" data-zjs-destination_url=""https://www.cnn.com/health"" data-zjs-navigation-location=""header"" data-zjs-navigation-type=""main"" data-zjs-page_type=""section"" data-zjs-page_variant=""landing_homepage"" href=""https://www.cnn.com/health"">
                  
                  Health
                </a>",0
"<a class=""header__nav-item-link"" data-zjs=""click"" data-zjs-component_id=""https://www.cnn.com/entertainment"" data-zjs-component_text=""Entertainment"" data-zjs-component_type=""link"" data-zjs-container_id=""cms.cnn.com/_components/header/instances/cnn-v1@published"" data-zjs-container_type=""navigation"" data-zjs-destination_url=""https://www.cnn.com/entertainment"" data-zjs-navigation-location=""header"" data-zjs-navigation-type=""main"" data-zjs-page_type=""section"" data-zjs-page_variant=""landing_homepage"" href=""https://www.cnn.com/entertainment"">
                  
                  Entertainment
                </a>",0
"<a class=""header__nav-item-link"" data-zjs=""click"" data-zjs-component_id=""https://www.cnn.com/style"" data-zjs-component_text=""Style"" data-zjs-component_type=""link"" data-zjs-container_id=""cms.cnn.com/_components/header/instances/cnn-v1@published"" data-zjs-container_type=""navigation"" data-zjs-destination_url=""https://www.cnn.com/style"" data-zjs-navigation-location=""header"" data-zjs-navigation-type=""main"" data-zjs-page_type=""section"" data-zjs-page_variant=""landing_homepage"" href=""https://www.cnn.com/style"">
                  
                  Style
                </a>",0
"<a class=""header__nav-item-link"" data-zjs=""click"" data-zjs-component_id=""https://www.cnn.com/travel"" data-zjs-component_text=""Travel"" data-zjs-component_type=""link"" data-zjs-container_id=""cms.cnn.com/_components/header/instances/cnn-v1@published"" data-zjs-container_type=""navigation"" data-zjs-destination_url=""https://www.cnn.com/travel"" data-zjs-navigation-location=""header"" data-zjs-navigation-type=""main"" data-zjs-page_type=""section"" data-zjs-page_variant=""landing_homepage"" href=""https://www.cnn.com/travel"">
                  
                  Travel
                </a>",0
