,html,is_article
0,"<a class=""css-kgn7zc"" href=""#site-content"">Skip to content</a>",0
1,"<a class=""css-kgn7zc"" href=""#site-index"">Skip to site index</a>",0
2,"<section class=""css-9kr9i3 e1m0pzr42""><a aria-label=""New York Times homepage"" class=""css-nhjhh0 ell52qj1"" data-testid=""masthead-mobile-logo"" href=""/""></a><ul class=""css-5wt1bj"" data-testid=""masthead-edition-menu""><li class=""css-vktqhz""><a aria-current=""page"" class=""css-ogiugu"" href=""/"" lang=""en-US"">U.S.</a></li><li class=""css-1vlye70"" data-testid=""edition-menu-international""><a class=""css-ogiugu"" href=""/international/"" lang=""en"">International</a></li><li class=""css-1vlye70"" data-testid=""edition-menu-canada""><a class=""css-ogiugu"" href=""/ca/"" lang=""en-CA"">Canada</a></li><li class=""css-1vlye70"" data-testid=""edition-menu-spanish""><a class=""css-ogiugu"" href=""https://www.nytimes.com/es/"" lang=""es-ES"">Español</a></li><li class=""css-1vlye70"" data-testid=""edition-menu-chinese""><a class=""css-ogiugu"" href=""https://cn.nytimes.com"" lang=""zh-hans"">中文</a></li></ul></section>",0
3,"<a aria-label=""New York Times homepage"" class=""css-nhjhh0 ell52qj1"" data-testid=""masthead-mobile-logo"" href=""/""></a>",0
4,"<a aria-current=""page"" class=""css-ogiugu"" href=""/"" lang=""en-US"">U.S.</a>",0
5,"<a class=""css-ogiugu"" href=""/international/"" lang=""en"">International</a>",0
6,"<a class=""css-ogiugu"" href=""/ca/"" lang=""en-CA"">Canada</a>",0
7,"<a class=""css-ogiugu"" href=""https://www.nytimes.com/es/"" lang=""es-ES"">Español</a>",0
8,"<a class=""css-ogiugu"" href=""https://cn.nytimes.com"" lang=""zh-hans"">中文</a>",0
9,"<section class=""hasLinks css-1oajkic e1pjtsj62"" id=""masthead-bar-one""><span> </span><a class=""css-hnzl8o"" href=""https://www.nytimes.com/section/todayspaper"">Today’s Paper</a></section>",0
10,"<a class=""css-hnzl8o"" href=""https://www.nytimes.com/section/todayspaper"">Today’s Paper</a>",0
11,"<section class=""story-wrapper css-17avoc5""><a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/aed11f56-1976-5204-a437-3f6052187112"" href=""https://www.nytimes.com/2024/01/06/business/alaska-airlines-flight-boeing-grounding.html""><p class=""indicate-hover css-si8ren"">F.A.A. Orders Airlines to Ground Some Boeing 737 Max 9 Jets After Emergency</p><p class=""summary-class css-1dzhg71"">An Alaska Airlines plane lost a chunk of its body on Friday, terrifying passengers. It then made an emergency landing at the Portland, Ore., airport.</p><p class=""css-1esztn"" data-ttr=""1"">6 min read</p></a><figure class=""container-margin css-186xh9e""><figcaption aria-hidden=""true"" class=""css-1p5yz2j""><span class=""css-1j306sm"">The New York Times</span></figcaption></figure></section>",1
12,"<a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/aed11f56-1976-5204-a437-3f6052187112"" href=""https://www.nytimes.com/2024/01/06/business/alaska-airlines-flight-boeing-grounding.html""><p class=""indicate-hover css-si8ren"">F.A.A. Orders Airlines to Ground Some Boeing 737 Max 9 Jets After Emergency</p><p class=""summary-class css-1dzhg71"">An Alaska Airlines plane lost a chunk of its body on Friday, terrifying passengers. It then made an emergency landing at the Portland, Ore., airport.</p><p class=""css-1esztn"" data-ttr=""1"">6 min read</p></a>",1
13,"<section class=""story-wrapper css-17avoc5""><a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/a2301f20-7d28-5fac-a9c1-f8a71f16a08c"" href=""https://www.nytimes.com/2024/01/06/travel/boeing-max-9-plane-airlines-flights.html""><p class=""indicate-hover css-66vf3i"">Here’s what passengers should know about delays and how airlines are responding to the Boeing incident.</p><p class=""css-1esztn"" data-ttr=""1"">4 min read</p></a></section>",1
14,"<a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/a2301f20-7d28-5fac-a9c1-f8a71f16a08c"" href=""https://www.nytimes.com/2024/01/06/travel/boeing-max-9-plane-airlines-flights.html""><p class=""indicate-hover css-66vf3i"">Here’s what passengers should know about delays and how airlines are responding to the Boeing incident.</p><p class=""css-1esztn"" data-ttr=""1"">4 min read</p></a>",1
15,"<section class=""story-wrapper css-17avoc5""><a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/c6e4a679-0a10-50c9-ac9e-c43975f7cec1"" href=""https://www.nytimes.com/2024/01/06/business/alaska-airlines-boeing-737-max-9.html""><p class=""indicate-hover css-66vf3i"">Boeing is facing new safety questions about the 737 Max 9. Here’s what to know about the plane.</p><p class=""css-1esztn"" data-ttr=""1"">5 min read</p></a></section>",1
