,html,is_article
0,"<a href=""https://www.wsj.com/client/silent-login?target=https%3A%2F%2Fwww.wsj.com"" id=""wsj-link"" rel=""nofollow"">
<span class=""typography"">WSJ</span>
</a>",0
1,"<a href=""https://www.barrons.com/client/silent-login?target=https%3A%2F%2Fwww.barrons.com"" id=""barrons-link"" rel=""nofollow"">
<span class=""typography"">Barron's</span>
</a>",0
2,"<a href=""https://www.marketwatch.com/client/silent-login?target=https%3A%2F%2Fwww.marketwatch.com"" id=""mw-link"" rel=""nofollow"">
<span class=""typography"">MarketWatch</span>
</a>",0
3,"<a href=""https://www.investors.com"" id=""ibd-link"" rel=""nofollow"">
<span class=""typography"">IBD</span>
</a>",0
4,"<a class=""style--logo--3Sm3caVo style--large--1klvE-jG"" href=""https://www.wsj.com/?mod=wsjheader_logo""><h1>The Wall Street Journal</h1></a>",0
5,"<a class=""style--logo--3Sm3caVo style--large--1klvE-jG"" href=""https://www.wsj.com/?mod=wsjheader_logo""><h1>The Wall Street Journal</h1></a>",0
6,"<a href=""https://subscribe.wsj.com/hpheaderlink"" role=""button"">Subscribe</a>",0
7,"<a href=""https://www.wsj.com/client/login?target=https%3A%2F%2Fwww.wsj.com%2F"" role=""button"">Sign In</a>",0
8,"<a href=""https://www.wsj.com/topics/person/evan-gershkovich?mod=hp_theme_evangershkovich-ribbon""><h4 class=""WSJTheme--section-title--2oMjzQnV"">Evan Gershkovich</h4><h5 class=""WSJTheme--section-subhed--3Wu4-Z_N"">9 Months Detained</h5></a>",0
9,"<a class=""WSJTheme--links--3Ti5Ykiq"" href=""https://www.wsj.com/articles/wsj-reporter-evan-gershkovich-detained-russia-cd03b0f3?mod=hp_theme_evangershkovich-ribbon""><span class="""">About Evan</span></a>",0
10,"<a class=""WSJTheme--links--3Ti5Ykiq WSJTheme--video-link--1Ho96GbV"" href=""https://www.wsj.com/video/evan-gershkovichs-family-reflects-on-100-days-of-his-detainment/8CC1F241-E73E-4C56-9512-65FCBB393188.html?mod=hp_theme_evangershkovich-ribbon""><span class="""">His Family Reflects</span></a>",0
11,"<a class=""WSJTheme--links--3Ti5Ykiq"" href=""https://www.wsj.com/story/on-the-ground-in-putins-russia-evan-gershkovichs-coverage-of-a-country-at-war-922125c2?mod=hp_theme_evangershkovich-ribbon""><span class="""">His Reporting</span></a>",0
12,"<a class=""WSJTheme--links--3Ti5Ykiq"" href=""https://www.wsj.com/articles/how-you-can-use-social-media-to-support-evan-gershkovich-c7bb2167?mod=hp_theme_evangershkovich-ribbon""><span class="""">How You Can Help</span></a>",0
13,"<a class=""WSJTheme--links--3Ti5Ykiq"" href=""https://www.wsj.com/articles/show-your-support-for-evan-gershkovich-73b77140?mod=hp_theme_evangershkovich-ribbon""><span class="""">Write a Message</span></a>",0
