html,is_article
"<a class="""" href=""https://www.ndtv.com/#pfrom=home-ndtv_header-globalnav"" id=""gavtab-1"" title=""News"">NDTV

</a>",0
"<a class=""hop"" href=""https://www.ndtvprofit.com/#pfrom=home-ndtv_header-globalnav"" id=""gavtab-2"" title=""Business News"">Profit

</a>",0
"<a class="""" href=""https://www.ndtv.com/world#pfrom=home-ndtv_header-globalnav"" id=""gavtab-3"" title=""World News"">World Edition

</a>",0
"<a class="""" href=""https://ndtv.in/#pfrom=home-ndtv_header-globalnav"" id=""gavtab-4"" title=""Hindi News"">हिंदी 

</a>",0
"<a class="""" href=""https://sports.ndtv.com/cricket#pfrom=home-ndtv_header-globalnav"" id=""gavtab-5"" title=""WORLD CUP 2023"">Cricket

</a>",0
"<a class="""" href=""https://www.ndtv.com/entertainment#pfrom=home-ndtv_header-globalnav"" id=""gavtab-6"" title=""Entertainment News"">MOVIES

</a>",0
"<a class="""" href=""https://food.ndtv.com/#pfrom=home-ndtv_header-globalnav"" id=""gavtab-7"" title=""Food Recipes"">FOOD

</a>",0
"<a class="""" href=""https://swirlster.ndtv.com/#pfrom=home-ndtv_header-globalnav"" id=""gavtab-8"" title=""Lifestyle News"">LIFESTYLE

</a>",0
"<a class="""" href=""https://doctor.ndtv.com/#pfrom=home-ndtv_header-globalnav"" id=""gavtab-9"" title=""Health News"">HEALTH

</a>",0
"<a class="""" href=""https://www.gadgets360.com/#pfrom=home-ndtv_header-globalnav"" id=""gavtab-10"" title=""Technology News"">TECH

</a>",0
"<a class="""" href=""https://www.ndtvgames.com/#pfrom=home-ndtv_header-globalnav"" id=""gavtab-11"" title="""">Games

</a>",0
"<a class="""" href=""https://www.ndtv.com/big-bonus#pfrom=home-ndtv_header-globalnav"" id=""gavtab-12"" title=""Big Bouns"">Big Bonus

</a>",0
"<a class="""" href=""https://swachhindia.ndtv.com/#pfrom=home-ndtv_header-globalnav"" id=""gavtab-13"" title=""Swasth"">SWASTH

</a>",0
"<a class="""" href=""https://www.ndtv.com/shopping#pfrom=home-ndtv_header-globalnav"" id=""gavtab-14"" title=""Shopping"">SHOPPING

</a>",0
"<a href=""https://www.ndtv.com""><img alt="""" src=""https://drop.ndtv.com/homepage/images/ndtvlogo22.svg""/></a>",0
"<a href=""https://www.ndtv.com/video/live/channel/ndtv24x7#pfrom=home-ndtv_mainnavgation"">LIVE TV</a>",0
"<a href=""https://www.ndtv.com/latest#pfrom=home-ndtv_mainnavgation"">LATEST</a>",0
"<a href=""https://www.ndtv.com/india#pfrom=home-ndtv_mainnavgation"">INDIA</a>",0
"<a href=""https://www.ndtv.com/video#pfrom=home-ndtv_mainnavgation"">VIDEO</a>",0
"<a href=""https://www.ndtv.com/world#pfrom=home-ndtv_mainnavgation"">WORLD</a>",0
"<a href=""https://www.ndtv.com/opinion#pfrom=home-ndtv_mainnavgation"">OPINION</a>",0
"<a href=""https://www.ndtv.com/cities#pfrom=home-ndtv_mainnavgation"">CITIES</a>",0
"<a href=""https://www.ndtv.com/education#pfrom=home-ndtv_mainnavgation"">Education</a>",0
"<a href=""https://www.ndtv.com/offbeat#pfrom=home-ndtv_mainnavgation"">OFFBEAT</a>",0
"<a href=""https://www.ndtv.com/feature#pfrom=home-ndtv_mainnavgation"">Feature</a>",0
"<a href=""https://www.ndtv.com/trends#pfrom=home-ndtv_mainnavgation"">TRENDS</a>",0
"<a class=""topnavmore"" href=""javascript:void(0)"" id=""h_sub_menu"">
<span class=""link-title"">More</span>
</a>",0
"<a id=""updateNewsIcon"" onclick=""showUpdateNews()"" title=""Latest Stories"">
















<span class=""link-title"">New Story</span>
</a>",0
"<a class=""notif"">
<span id=""___ndtvspldiv""></span>
<span class=""link-title"">Notification</span>
</a>",0
"<a class=""searchicon"" href=""javascript:void(0)"" id=""h_search_menu"">
<span class=""link-title"">Search</span>
</a>",0
"<a href=""https://www.ndtv.com/south#pfrom=home-ndtv_topsubnavigation"">SOUTH</a>",0
"<a href=""https://www.ndtv.com/people#pfrom=home-ndtv_topsubnavigation"">PEOPLE</a>",0
"<a href=""https://www.ndtv.com/science#pfrom=home-ndtv_topsubnavigation"">Science</a>",0
"<a href=""https://www.ndtv.com/photos#pfrom=home-ndtv_topsubnavigation"">Photos </a>",0
"<a href=""https://social.ndtv.com/static/Weather/report/#pfrom=home-ndtv_topsubnavigation"">WEATHER</a>",0
"<a href=""https://www.ndtv.com/tv-schedule#pfrom=home-ndtv_topsubnavigation"">TV Schedule</a>",0
"<a href=""https://www.ndtv.com/indian-railway/#pfrom=home-ndtv_topsubnavigation"">Trains </a>",0
"<a href=""https://www.ndtv.com/india-news/hateful-comments-on-indians-bollywood-actors-join-boycottmaldives-4816413#pfrom=home-ndtv_bigstory"">Big Story</a>",0
"<a href=""https://www.ndtv.com/india-news/hateful-comments-on-indians-bollywood-actors-join-boycottmaldives-4816413#pfrom=home-ndtv_bigstory""><img alt=""'Why Should We Tolerate Hate': Celebs Join Hands For Lakshadweep"" border=""0"" class=""imgbrd"" src=""https://c.ndtvimg.com/2024-01/5r9sdgt8_bollywood-celebrities-on-maldives-_625x300_07_January_24.jpg?downsize=340:209&amp;w=340"" title=""'Why Should We Tolerate Hate': Celebs Join Hands For Lakshadweep""/></a>",1
